melon,37
cranberry,41
melon,86
dragonfruit,97
blackberry,50
raspberry,65
nectarine,17
pomegranate,34
watermelon,29
pomelo,74
apple,24
nectarine,16
watermelon,10
melon,70
guava,15
pomelo,49
tangerine,9
pomelo,48
cranberry,24
watermelon,13
cranberry,56
pomegranate,51
banana,54
pomegranate,22
melon,69
pomegranate,89
cranberry,9
banana,87
raspberry,43
melon,84
tangerine,62
starfruit,87
guava,40
guava,14
cranberry,90
starfruit,21
dragonfruit,33
blackberry,94
nectarine,48
dragonfruit,79
banana,63
raspberry,28
pomegranate,31
pomelo,49
melon,67
apple,57
pomelo,29
apple,37
banana,40
cranberry,14
pomegranate,45
raspberry,50
apple,62
blackberry,57
guava,57
melon,53
starfruit,15
starfruit,22
watermelon,50
raspberry,12
starfruit,76
tangerine,34
cranberry,92
starfruit,75
melon,91
banana,82
starfruit,35
nectarine,47
watermelon,78
dragonfruit,54
dragonfruit,76
apple,59
pomegranate,35
watermelon,87
raspberry,11
cranberry,54
pomelo,54
apple,11
blackberry,96
cranberry,32
apple,99
melon,21
blackberry,7
dragonfruit,92
watermelon,32
apple,76
tangerine,77
guava,78
raspberry,15
cranberry,67
raspberry,79
dragonfruit,8
melon,2
pomelo,21
melon,87
guava,50
pomegranate,95
watermelon,69
pomegranate,39
tangerine,38
apple,20
apple,89
raspberry,88
cranberry,34
tangerine,20
pomegranate,86
cranberry,3
dragonfruit,74
starfruit,93
cranberry,55
guava,67
watermelon,49
melon,28
tangerine,45
pomelo,29
starfruit,87
apple,96
tangerine,73
apple,6
pomegranate,66
blackberry,31
apple,35
watermelon,82
banana,84
starfruit,23
starfruit,92
raspberry,45
nectarine,87
starfruit,46
starfruit,80
blackberry,76
pomelo,93
guava,4
melon,48
banana,11
banana,39
dragonfruit,73
watermelon,7
pomegranate,40
blackberry,18
raspberry,69
apple,75
starfruit,69
starfruit,90
blackberry,95
blackberry,46
nectarine,96
dragonfruit,43
raspberry,64
cranberry,23
pomegranate,73
pomegranate,42
nectarine,24
watermelon,82
guava,42
watermelon,86
melon,60
banana,89
guava,90
melon,98
raspberry,6
pomelo,52
apple,54
tangerine,65
pomegranate,45
guava,48
tangerine,58
cranberry,31
tangerine,47
dragonfruit,97
apple,98
starfruit,18
nectarine,31
apple,72
blackberry,51
pomelo,9
pomegranate,41
melon,42
cranberry,60
pomelo,5
guava,16
watermelon,17
tangerine,74
guava,41
pomegranate,7
nectarine,92
banana,65
melon,15
blackberry,37
nectarine,75
melon,60
tangerine,62
blackberry,1
pomelo,77
guava,4
melon,27
melon,80
cranberry,52
banana,50
starfruit,89
pomelo,54
guava,40
nectarine,28
pomelo,26
guava,6
raspberry,54
blackberry,35
starfruit,66
melon,42
pomegranate,86
apple,6
nectarine,47
apple,60
pomegranate,56
pomelo,80
apple,12
pomelo,62
banana,57
banana,90
nectarine,75
pomegranate,43
dragonfruit,65
cranberry,67
pomelo,34
starfruit,44
nectarine,10
banana,50
apple,91
apple,50
guava,80
watermelon,3
apple,83
pomegranate,79
watermelon,49
watermelon,9
nectarine,89
nectarine,80
melon,64
nectarine,97
blackberry,50
raspberry,40
cranberry,47
watermelon,21
melon,46
guava,13
tangerine,15
dragonfruit,72
guava,4
nectarine,20
guava,35
watermelon,19
banana,49
nectarine,41
dragonfruit,44
pomegranate,16
tangerine,0
blackberry,90
watermelon,95
blackberry,50
nectarine,24
apple,57
guava,2
guava,15
starfruit,36
raspberry,46
melon,75
cranberry,3
blackberry,8
tangerine,25
watermelon,12
nectarine,37
nectarine,89
raspberry,41
starfruit,42
raspberry,32
cranberry,47
pomelo,57
tangerine,13
nectarine,8
tangerine,63
dragonfruit,83
banana,4
raspberry,53
apple,89
starfruit,17
dragonfruit,97
banana,6
cranberry,26
blackberry,14
blackberry,16
watermelon,88
melon,42
watermelon,66
raspberry,70
blackberry,48
raspberry,43
tangerine,27
melon,26
nectarine,21
banana,88
watermelon,30
nectarine,76
apple,92
guava,50
starfruit,95
raspberry,51
nectarine,14
apple,32
watermelon,30
pomegranate,98
pomelo,61
melon,79
pomegranate,39
blackberry,31
nectarine,57
melon,22
melon,67
blackberry,88
dragonfruit,9
melon,51
blackberry,74
banana,74
starfruit,64
dragonfruit,50
melon,58
dragonfruit,22
pomegranate,85
raspberry,46
pomelo,12
banana,84
melon,28
dragonfruit,0
watermelon,87
starfruit,84
nectarine,96
pomegranate,72
cranberry,76
watermelon,72
tangerine,65
tangerine,65
tangerine,94
nectarine,22
starfruit,77
pomelo,83
nectarine,92
melon,19
dragonfruit,60
tangerine,47
apple,68
pomelo,38
